id,joke,category
773,"Yo mama's so tall, she makes Shaquille O'Neal look like Gary Coleman.",tall
772,"Yo mama's so tall, she has to take out the driver's seat of her car and sit in the back to operate the vehicle.",tall
771,"Yo mama's so tall, she uses two 100-foot ladders as crutches.",tall
770,"Yo mama's so tall, she can see her house from anywhere.",tall
768,Yo mama is so tall that she tripped over a rock and hit her head on the moon.,tall
767,Yo mama is so tall that she tripped in Michigan and bumped her head in Florida.,tall
766,"Yo mama is so skinny that instead of calling her your parent, you call her transparent.",skinny
764,Yo mama is so skinny that her pants only have one belt loop.,skinny
763,Yo mama is so skinny that if she had a yeast infection she'd be a Quarter Pounder with Cheese.,skinny
762,Yo mama is so skinny that she had to stand in the same place twice to cast a shadow.,skinny
761,Yo mama is so skinny that her bra fits better when she wears it backwards.,skinny
760,"Yo mama is so skinny that when she takes a bath and lets the water out, her toes get caught in the drain.",skinny
759,Yo mama is so skinny that she goes hot tubbing with the Mini Wheats Man.,skinny
758,"Yo mama is so skinny that if she turned sideways and stuck out her tongue, she would look like a zipper.",skinny
757,Yo mama is so skinny that she uses Chapstick for deodorant.,skinny
755,Yo mama is so skinny that she can dodge rain drops.,skinny
754,Yo mama is so skinny that she only has one stripe on her pajamas.,skinny
753,Yo mama is so skinny that she looks like a mic stand.,skinny
752,Yo mama is so skinny that I could blind-fold her with dental floss.,skinny
751,Yo mama is so skinny that her nipples touch.,skinny
750,"Yo mama is so skinny that if she had a sesame seed on her head, she'd look like a push pin.",skinny
749,"Yo mama is so skinny that when she wore her yellow dress, she looked like an HB pencil.",skinny
748,Yo mama is so skinny that she has to run around in the shower to get wet.,skinny
747,Yo mama is so skinny that you can save her from drowning by tossing her a Fruit Loop.,skinny
746,Yo mama is so skinny that she uses a Band-Aid as a maxi-pad.,skinny
745,Yo mama is so skinny that she can see out a peephole with both eyes.,skinny
743,Yo mama is so skinny that she has to wear a belt with spandex.,skinny
742,Yo mama is so skinny that she hula hoops with a Cheerio.,skinny
741,Yo mama is so skinny that she turned sideways and disappeared.,skinny
